variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
LBXPFUA,1999-2000,SSPFC_A,SPFUA,WTMEC2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2003-2004,L24PFC_C,,WTSA2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2005-2006,PFC_D,,WTSA2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2007-2008,PFC_E,,WTSC2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2009-2010,PFC_F,,WTSC2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2011-2012,PFC_G,,WTSA2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2013-2014,PFAS_H,SSPFUA,WTSB2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2015-2016,PFAS_I,,WTSB2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPFUA,2017-2018,PFAS_J,,WTSB2YR,Perfluoroundecanoic acid (ng/mL),Perfluoroalkyl and Polyfluoroalkyl Substances,Chemicals,(ng/mL),Per- and Polyfluoroalkyl Substances (PFAS)
LBXPHE,2003-2004,L45VIT_C,,WTMEC2YR,Phytoene (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXPHF,2003-2004,L45VIT_C,,WTMEC2YR,Phytofluene (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXPL1,2011-2012,FAS_G,,,Palmitoleic acid (16:1n-7) (umol/L),Fatty Acids - Serum,LAB,,
LBXPL1,2013-2014,FAS_H,,,Palmitoleic acid (16:1n-7) (umol/L),Fatty Acids - Serum,LAB,,
LBXPLP,2003-2004,L43_C,LBXVB6,WTMEC2YR,Vitamin B6 (nmol/L),Vitamin B,Chemicals,(nmol/L),Dietary Components
LBXPLP,2005-2006,VIT_B6_D,,WTMEC2YR,Vitamin B6 (nmol/L),Vitamin B,Chemicals,(nmol/L),Dietary Components
LBXPLP,2007-2008,VIT_B6_E,,WTMEC2YR,Vitamin B6 (nmol/L),Vitamin B,Chemicals,(nmol/L),Dietary Components
LBXPLP,2009-2010,VIT_B6_F,,WTMEC2YR,Vitamin B6 (nmol/L),Vitamin B,Chemicals,(nmol/L),Dietary Components
LBXPLTSI,1999-2000,LAB25,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2001-2002,L25_B,,,Platelet count (%) SI,Complete Blood Count with 5-part Differential - Whole Blood,LAB,,
LBXPLTSI,2003-2004,L25_C,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2005-2006,CBC_D,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2007-2008,CBC_E,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2009-2010,CBC_F,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2011-2012,CBC_G,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2013-2014,CBC_H,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2015-2016,CBC_I,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI,2017-2018,CBC_J,,,Platelet count: SI (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI1,2001-2002,L25_B,LBXPLTSI,,Platelet count: SI replicate 1 (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPLTSI2,2001-2002,l25_2_b,LB2PLTSI,,Platelet count: SI replicate 2 (1000 cells/uL),Complete Blood Count,Response,NA,NA
LBXPM1,2011-2012,FAS_G,,,Palmitic acid (16:0) (umol/L),Fatty Acids - Serum,LAB,,
LBXPM1,2013-2014,FAS_H,,,Palmitic acid (16:0) (umol/L),Fatty Acids - Serum,LAB,,
LBXPS4,2007-2008,PSA_E,,,Complexed prostate specific antigen (ng/mL),Prostate Specific Antigen (PSA),LAB,,
LBXPS4,2009-2010,PSA_F,,,Complexed prostate specific antigen (ng/mL),Prostate Specific Antigen (PSA),LAB,,
LBXPT21,2003-2004,L11_C,,,Parathyroid Hormone Elecys method (pg/mL),Complete Blood Count,Response,NA,NA
LBXPT21,2005-2006,PTH_D,,,Parathyroid Hormone Elecys method (pg/mL),Complete Blood Count,Response,NA,NA
LBXPV11,2005-2006,HPVSRM_D,,,HPV11 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV16,2005-2006,HPVSRM_D,,,HPV16 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV18,2005-2006,HPVSRM_D,,,HPV18 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV31,2005-2006,HPVSRM_D,,,HPV31 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV33,2005-2006,HPVSRM_D,,,HPV33 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV45,2005-2006,HPVSRM_D,,,HPV45 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV52,2005-2006,HPVSRM_D,,,HPV52 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV58,2005-2006,HPVSRM_D,,,HPV58 9-plex coded result,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPV6,2005-2006,HPVSRM_D,,,,"Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA",LAB,,
LBXPVL,2001-2002,L35_B,,,Panton Valentine Leukocidin,Methicillin - Resistant Staphylococcus aureus (MRSA),LAB,,
LBXPVL,2003-2004,L35_C,,,Panton Valentine Leukocidin,Methicillin - Resistant Staphylococcus aureus (MRSA),LAB,,
LBXQD1,2003-2004,L35_C,,,Quinupristin-dalfopristin 1,Methicillin - Resistant Staphylococcus aureus (MRSA),LAB,,
LBXQD2,2003-2004,L35_C,,,Quinupristin-dalfopristin,Methicillin - Resistant Staphylococcus aureus (MRSA),LAB,,
LBXRBCSI,1999-2000,LAB25,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2001-2002,L25_B,,,Red cell count SI,Complete Blood Count with 5-part Differential - Whole Blood,LAB,,
LBXRBCSI,2003-2004,L25_C,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2005-2006,CBC_D,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2007-2008,CBC_E,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2009-2010,CBC_F,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2011-2012,CBC_G,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2013-2014,CBC_H,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2015-2016,CBC_I,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI,2017-2018,CBC_J,,,Red blood cell count: SI (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI1,2001-2002,L25_B,LBXRBCSI,,Red blood cell count: SI replicate 1 (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBCSI2,2001-2002,l25_2_b,LB2RBCSI,,Red blood cell count: SI replicate 2 (million cells/uL),Complete Blood Count,Response,NA,NA
LBXRBF,1999-2000,LAB06,,,"Folate, RBC (ng/mL RBC)","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",LAB,,
LBXRBF,2001-2002,L06_B,,,"Folate, RBC (ng/mL RBC)","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",LAB,,
LBXRBF,2003-2004,L06NB_C,,,"Folate, RBC (ng/mL RBC)","Folate - RBC & Serum, and Vitamin B12",LAB,,
LBXRBF,2005-2006,FOLATE_D,,,"Folate, RBC (ng/mL RBC)",Folate - RBC & Serum,LAB,,
LBXRBFSI,2007-2008,FOLATE_E,,,RBC folate (nmol/L),Folate - RBC & Serum,LAB,,
LBXRBFSI,2009-2010,FOLATE_F,,,RBC folate (nmol/L),Folate - RBC & Serum,LAB,,
LBXRDW,1999-2000,LAB25,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2001-2002,L25_B,,,Red cell distribution width (%),Complete Blood Count with 5-part Differential - Whole Blood,LAB,,
LBXRDW,2003-2004,L25_C,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2005-2006,CBC_D,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2007-2008,CBC_E,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2009-2010,CBC_F,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2011-2012,CBC_G,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2013-2014,CBC_H,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2015-2016,CBC_I,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW,2017-2018,CBC_J,,,Red cell distribution width (%),Complete Blood Count,Response,NA,NA
LBXRDW1,2001-2002,L25_B,LBXRDW,,Red cell distribution width replicate 1 (%),Complete Blood Count,Response,NA,NA
LBXRDW2,2001-2002,l25_2_b,LB2RDW,,Red cell distribution width replicate 2 (%),Complete Blood Count,Response,NA,NA
LBXRPL,1999-2000,LAB06,,WTMEC4YR,Retinyl palmitate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRPL,2001-2002,L06VIT_B,,,Retinyl palmitate(ug/dL),"Vitamin A, Vitamin E & Carotenoids",LAB,,
LBXRPL,2003-2004,L45VIT_C,,WTMEC2YR,Retinyl palmitate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRPL,2005-2006,VITAEC_D,,WTMEC2YR,Retinyl palmitate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRPL,2017-2018,VITAEC_J,,WTMEC2YR,Retinyl palmitate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRPL1,2001-2002,L06VIT_B,LBXRPL,WTMEC4YR,Retinyl palmitate replicate 1 (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRPL2,2001-2002,VIT_2_B,LB2RPL,WTMEC4YR,Retinyl palmitate replicate 2 (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRST,1999-2000,LAB06,,WTMEC4YR,Retinyl stearate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRST,2001-2002,L06VIT_B,,,Retinyl stearate(ug/dL),"Vitamin A, Vitamin E & Carotenoids",LAB,,
LBXRST,2003-2004,L45VIT_C,,WTMEC2YR,Retinyl stearate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRST,2005-2006,VITAEC_D,,WTMEC2YR,Retinyl stearate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRST,2017-2018,VITAEC_J,,WTMEC2YR,Retinyl stearate (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRST1,2001-2002,L06VIT_B,LBXRST,WTMEC4YR,Retinyl stearate replicate 1 (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRST2,2001-2002,VIT_2_B,LB2RST,WTMEC2YR,Retinyl stearate replicate 2 (ug/dL),"Vitamin A, Vitamin E & Carotenoids",Chemicals,(ug/dL),Dietary Components
LBXRUB,2001-2002,L19_2_B,LB2RU,,Serum rubella antibody (IgG),"Measles, Rubella, & Varicella",Response,NA,NA
LBXRUB,2009-2010,MMRV_F,,,Serum rubella antibody (IgG),"Measles, Rubella, & Varicella",Response,NA,NA
LBXS06MK,2003-2004,L52SER_C,,,HPV 06 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA",LAB,,
LBXS06MK,2005-2006,HPVSER_D,,,HPV 06 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA",LAB,,
LBXS11MK,2003-2004,L52SER_C,,,HPV 11 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA",LAB,,
LBXS11MK,2005-2006,HPVSER_D,,,HPV 11(Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA",LAB,,
LBXS16MK,2003-2004,L52SER_C,,,HPV 16 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA",LAB,,
LBXS16MK,2005-2006,HPVSER_D,,,HPV 16 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA",LAB,,
LBXS18MK,2003-2004,L52SER_C,,,HPV 18 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA",LAB,,
LBXS18MK,2005-2006,HPVSER_D,,,HPV 18 (Merck competitive Luminex assay),"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA",LAB,,
LBXSAL,1999-2000,LAB18,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2001-2002,L40_B,,,Albumin (g/dL),Standard Biochemistry Profile,LAB,,
LBXSAL,2003-2004,L40_C,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2005-2006,BIOPRO_D,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2007-2008,BIOPRO_E,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2009-2010,BIOPRO_F,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2011-2012,BIOPRO_G,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2013-2014,BIOPRO_H,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2015-2016,BIOPRO_I,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL,2017-2018,BIOPRO_J,,,Serum albumin (g/dL),Albumin,Response,NA,NA
LBXSAL1,2001-2002,L40_B,LBXSAL,,Serum albumin replicate 1 (g/dL),Albumin,Response,NA,NA
LBXSAL2,2001-2002,L40_2_B,LB2SAL,,Serum albumin replicate 2 (g/dL),Albumin,Response,NA,NA
LBXSAPSI,1999-2000,LAB18,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2003-2004,L40_C,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2005-2006,BIOPRO_D,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2007-2008,BIOPRO_E,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2009-2010,BIOPRO_F,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2011-2012,BIOPRO_G,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2013-2014,BIOPRO_H,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2015-2016,BIOPRO_I,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI,2017-2018,BIOPRO_J,,,Serum alkaline phosphatase:   SI (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI1,2001-2002,L40_B,LBDSAPSI,,Serum alkaline phosphatase:   SI replicate 1 (U/L),Alkaline phosphatase,Response,NA,NA
LBXSAPSI2,2001-2002,L40_2_B,LB2SAPSI,,Serum alkaline phosphatase:   SI replicate 2 (U/L),Alkaline phosphatase,Response,NA,NA
LBXSASSI,1999-2000,LAB18,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2001-2002,L40_B,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2003-2004,L40_C,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2005-2006,BIOPRO_D,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2007-2008,BIOPRO_E,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2009-2010,BIOPRO_F,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2011-2012,BIOPRO_G,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2013-2014,BIOPRO_H,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2015-2016,BIOPRO_I,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSASSI,2017-2018,BIOPRO_J,,,Aspartate aminotransferase AST: SI (U/L),Aspartate aminotransferase,Response,NA,NA
LBXSATSI,1999-2000,LAB18,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2001-2002,L40_B,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2003-2004,L40_C,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2005-2006,BIOPRO_D,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2007-2008,BIOPRO_E,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2009-2010,BIOPRO_F,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2011-2012,BIOPRO_G,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2013-2014,BIOPRO_H,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2015-2016,BIOPRO_I,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSATSI,2017-2018,BIOPRO_J,,,Alanine aminotransferase ALT: SI (U/L),Alanine aminotransferase,Response,NA,NA
LBXSBU,1999-2000,LAB18,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2001-2002,L40_B,,,Blood urea nitrogen (mg/dL),Standard Biochemistry Profile,LAB,,
LBXSBU,2003-2004,L40_C,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2005-2006,BIOPRO_D,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2007-2008,BIOPRO_E,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2009-2010,BIOPRO_F,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2011-2012,BIOPRO_G,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2013-2014,BIOPRO_H,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2015-2016,BIOPRO_I,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU,2017-2018,BIOPRO_J,,,Serum blood urea nitrogen (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU1,2001-2002,L40_B,LBXSBU,,Serum blood urea nitrogen replicate 1 (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSBU2,2001-2002,L40_2_B,LB2SBU,,Serum blood urea nitrogen replicate 2 (mg/dL),Blood Urea Nitrogen,Response,NA,NA
LBXSC3SI,1999-2000,LAB18,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2001-2002,L40_B,,,Bicarbonate: SI (mmol/L),Standard Biochemistry Profile,LAB,,
LBXSC3SI,2003-2004,L40_C,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2005-2006,BIOPRO_D,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2007-2008,BIOPRO_E,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2009-2010,BIOPRO_F,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2011-2012,BIOPRO_G,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2013-2014,BIOPRO_H,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2015-2016,BIOPRO_I,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI,2017-2018,BIOPRO_J,,,Serum bicarbonate:  SI (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI1,2001-2002,L40_B,LBXSC3SI,,Serum bicarbonate:  SI replicate 1 (mmol/L),Bicarbonate,Response,NA,NA
LBXSC3SI2,2001-2002,L40_2_B,LB2SC3SI,,Serum bicarbonate:  SI replicate 2 (mmol/L),Bicarbonate,Response,NA,NA
LBXSCA,1999-2000,LAB18,,WTMEC4YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2001-2002,L40_B,,,Total Calcium (mg/dL),Standard Biochemistry Profile,LAB,,
LBXSCA,2003-2004,L40_C,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2005-2006,BIOPRO_D,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2007-2008,BIOPRO_E,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2009-2010,BIOPRO_F,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2011-2012,BIOPRO_G,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2013-2014,BIOPRO_H,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2015-2016,BIOPRO_I,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA,2017-2018,BIOPRO_J,,WTMEC2YR,Total Calcium (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA1,2001-2002,L40_B,LBXSCA,WTMEC4YR,Serum total calcium replicate 1 (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCA2,2001-2002,L40_2_B,LB2SCA,WTMEC4YR,Serum total calcium replicate 2 (mg/dL),Calcium,Chemicals,(mg/dL),Dietary Components
LBXSCC,2001-2002,L35_B,,,SCCmec Type,Methicillin - Resistant Staphylococcus aureus (MRSA),LAB,,
LBXSCC,2003-2004,L35_C,,,SCCmec Type,Methicillin - Resistant Staphylococcus aureus (MRSA),LAB,,
LBXSCH,1999-2000,LAB18,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2001-2002,L40_B,,,Cholesterol (mg/dL),Standard Biochemistry Profile,LAB,,
LBXSCH,2003-2004,L40_C,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2005-2006,BIOPRO_D,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2007-2008,BIOPRO_E,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2009-2010,BIOPRO_F,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2011-2012,BIOPRO_G,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2013-2014,BIOPRO_H,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2015-2016,BIOPRO_I,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH,2017-2018,BIOPRO_J,,,Serum total cholesterol (mg/dL),Cholesterol,Response,NA,NA
LBXSCH1,2001-2002,L40_B,LBXSCH,,Serum total cholesterol replicate 1 (mg/dL),Cholesterol,Response,NA,NA
LBXSCH2,2001-2002,L40_2_B,LB2SCH,,Serum total cholesterol replicate 2 (mg/dL),Cholesterol,Response,NA,NA
LBXSCK,2011-2012,BIOPRO_G,,,Creatine Phosphokinase (IU/L),Creatine Phosphokinase,Response,NA,NA
LBXSCK,2013-2014,BIOPRO_H,,,Creatine Phosphokinase (IU/L),Creatine Phosphokinase,Response,NA,NA
LBXSCK,2015-2016,BIOPRO_I,,,Creatine Phosphokinase (IU/L),Creatine Phosphokinase,Response,NA,NA
